Order_ID,Order_Date,Region,Category,Subcategory,Units,Discount,Sales,Profit
1,2025-11-24,East,Technology,Phones,4,0.15,873.56,83.29
2,2025-04-22,North,Furniture,Chairs,7,0.10,2095.73,344.22
3,2025-03-23,East,Technology,Accessories,2,0.00,235.13,41.16
4,2025-05-16,West,Technology,Phones,3,0.20,1366.66,204.01
5,2025-12-27,South,Furniture,Tables,7,0.10,3454.19,431.86
6,2025-08-12,West,Technology,Laptops,6,0.05,3250.84,488.31
7,2025-10-19,North,Office Supplies,Binders,5,0.00,350.29,68.34
8,2025-01-14,South,Furniture,Storage,4,0.15,1342.18,144.58
9,2025-06-03,West,Technology,Accessories,5,0.10,1008.52,132.83
10,2025-02-25,East,Furniture,Chairs,3,0.00,876.33,122.78
11,2025-07-08,North,Technology,Laptops,2,0.05,1194.28,180.89
12,2025-09-30,South,Office Supplies,Paper,8,0.00,518.72,120.18
13,2025-03-11,West,Furniture,Tables,5,0.20,1992.45,209.14
14,2025-11-05,North,Technology,Phones,6,0.10,3210.54,387.45
15,2025-04-09,East,Furniture,Storage,3,0.05,642.37,76.18
16,2025-08-26,South,Technology,Laptops,4,0.00,2743.62,518.44
17,2025-06-21,West,Office Supplies,Stationery,7,0.15,426.18,77.52
18,2025-12-03,North,Furniture,Chairs,5,0.10,1712.55,241.08
19,2025-02-17,South,Technology,Accessories,8,0.20,1568.72,185.94
20,2025-10-07,West,Furniture,Tables,2,0.05,1044.62,141.37
21,2025-01-29,East,Office Supplies,Paper,6,0.00,391.44,91.23
22,2025-05-28,North,Technology,Laptops,3,0.15,1758.36,188.45
23,2025-09-13,South,Furniture,Storage,7,0.10,2318.47,287.32
24,2025-07-24,West,Technology,Phones,5,0.00,2146.75,422.13
25,2025-03-04,North,Office Supplies,Binders,4,0.05,274.88,56.39
26,2025-11-18,East,Furniture,Chairs,6,0.15,1834.22,205.48
27,2025-04-30,South,Technology,Accessories,5,0.10,1196.54,166.73
28,2025-08-05,West,Furniture,Tables,4,0.20,1788.31,184.52
29,2025-06-15,North,Technology,Laptops,7,0.00,3894.27,729.36
30,2025-12-19,South,Office Supplies,Stationery,8,0.10,497.63,96.15
31,2025-02-03,East,Technology,Phones,3,0.05,1473.26,257.14
32,2025-10-26,West,Furniture,Storage,5,0.15,1582.44,178.66
33,2025-07-16,North,Office Supplies,Paper,7,0.00,462.18,108.47
34,2025-05-07,South,Technology,Laptops,4,0.10,2264.75,319.81
35,2025-09-25,East,Furniture,Chairs,2,0.20,704.36,72.89
36,2025-01-08,West,Technology,Accessories,6,0.05,1364.92,211.34
37,2025-11-29,North,Furniture,Tables,5,0.10,2487.65,352.91
38,2025-03-19,South,Office Supplies,Binders,8,0.15,508.74,91.44
39,2025-06-28,East,Technology,Phones,4,0.00,1965.43,369.72
40,2025-08-18,West,Furniture,Storage,6,0.05,2197.38,313.64
41,2025-04-14,North,Technology,Laptops,2,0.10,1126.54,149.63
42,2025-12-08,South,Furniture,Chairs,7,0.00,2653.77,397.21
43,2025-02-21,East,Office Supplies,Stationery,5,0.20,293.61,42.15
44,2025-10-11,West,Technology,Accessories,8,0.15,1774.35,191.77
45,2025-07-03,North,Furniture,Tables,3,0.05,1458.92,215.83
46,2025-05-21,South,Technology,Phones,6,0.10,2856.18,346.42
47,2025-09-06,East,Furniture,Storage,4,0.00,1436.85,228.77
48,2025-01-22,West,Office Supplies,Paper,7,0.15,437.52,81.29
49,2025-11-12,North,Technology,Laptops,5,0.20,2622.44,282.11
50,2025-03-28,South,Furniture,Chairs,4,0.10,1547.33,213.84
51,2025-06-09,East,Technology,Accessories,3,0.05,627.19,98.74
52,2025-08-30,West,Furniture,Tables,6,0.15,2865.42,304.26
